,price,area,latitude,longitude,bedrooms,bathrooms,balcony,status,new_or_old,parking,furnished_status,lift,type_of_building
385,22600000,1250,19.16970443725586,72.8530044555664,2,2,0,1,0,0,0,0,1
386,21000000,1050,19.205001831054688,72.86927032470703,3,2,0,1,1,0,0,0,1
388,40000000,1000,19.11918830871582,72.8646240234375,2,2,0,1,0,0,1,0,1
389,23900000,1600,19.06464195251465,72.89200592041016,3,3,0,1,0,0,1,0,1
390,24000000,700,19.0070668,72.8196482,2,2,0,1,0,0,-1,0,2
391,21000000,850,19.119260787963867,72.86461639404297,2,2,2,1,0,2,0,2,1
392,50500000,1705,18.998096278561693,72.84285746137698,3,3,1,1,0,1,-1,1,1
393,30000000,1000,19.0327996,72.89635679999999,3,2,0,1,0,0,-1,0,1
394,37500000,1258,19.006180342037,72.8286779623475,2,2,0,1,1,0,-1,0,1
397,18500000,1650,19.309392300000003,72.84912270000001,3,3,0,1,0,0,-1,0,1
398,12500000,935,19.2364109,72.8695404,2,2,2,1,0,2,-1,2,1
399,32000000,1500,19.0880895,72.8370599,3,3,0,1,0,0,-1,0,1
401,15000000,980,19.2018545,72.815272,2,2,0,1,0,0,-1,0,1
405,42600000,1300,19.1086461,72.83470729999999,3,3,0,1,0,0,1,0,1
406,15500000,1340,19.2050017,72.86927109999999,3,3,0,1,0,0,1,0,1
407,23000000,1215,19.119178771972656,72.86463928222656,2,2,0,1,0,0,1,0,1
409,32000000,1296,19.0908063,72.90766690000001,3,2,2,1,0,2,1,2,1
410,21500000,900,19.07711601257324,72.84907531738281,2,2,0,1,1,0,0,0,1
411,28000000,1550,19.136784,72.86385899999999,3,3,1,1,1,1,-1,1,1
413,13000000,900,19.207013957875898,72.87943298291121,2,2,2,1,0,2,-1,2,1
415,30000000,1140,19.03975486755371,72.86038208007812,3,2,0,1,0,0,2,0,1
416,14400000,991,19.213053,72.81889100000001,2,2,0,1,0,0,-1,0,1
417,29900000,850,19.083911847835505,72.91009933408759,2,2,1,1,0,1,-1,1,1
418,33000000,1295,19.209567,72.86997099999999,3,3,0,1,0,0,-1,0,1
421,36000000,1100,19.100385665893555,72.8504638671875,2,2,0,1,0,0,1,0,1
423,14500000,900,19.12021420298,72.9299633704782,2,2,0,1,0,0,-1,0,2
424,9500000,1200,19.3693345,72.806127,3,2,0,1,0,0,0,0,1
425,29700000,1180,19.015415,72.86014899999999,3,3,0,1,0,0,-1,0,2
426,37500000,1000,19.0158306,72.82939209999999,2,2,2,1,0,2,1,2,2
427,18500000,925,19.11928367614746,72.86461639404297,2,2,0,1,0,0,0,0,1
428,13000000,950,19.060800552368164,72.87981414794922,2,2,0,1,0,0,1,0,1
429,21000000,1050,19.052196502685547,72.89112091064453,2,2,0,1,1,0,1,0,1
431,28500000,1400,19.177581,72.94503,3,2,1,1,0,1,-1,1,1
432,13500000,1200,19.21649932861328,72.8341293334961,2,3,1,1,0,1,2,1,1
433,5700000,855,19.3674262994951,72.820708,2,2,2,1,0,2,-1,2,1
437,23500000,700,19.100385,72.850466,2,2,1,1,0,1,-1,1,1
438,19000000,1155,19.1077728874082,72.89723402507059,2,2,1,1,0,1,-1,1,1
439,24500000,1350,19.1227979,72.82485940000001,3,2,0,-1,0,0,1,0,1
440,32500000,1250,19.13855469,72.82562324,3,3,2,1,0,2,-1,2,1
443,25000000,1500,19.1913396666603,72.862262257539,3,3,0,1,0,0,-1,0,1
444,29000000,1100,19.1523371746602,72.83092418126779,2,2,2,1,0,2,-1,2,1
447,32000000,1400,19.07907,72.907976,3,3,0,1,0,0,2,0,1
448,41000000,1600,19.142096,72.826173,3,3,0,1,0,0,-1,0,1
451,22500000,1150,19.11721627,72.89304604,2,2,2,1,0,2,-1,2,1
452,35000000,1200,19.07072639465332,72.83612823486328,3,3,0,1,1,0,0,0,1
453,23500000,844,19.21458019,72.87133267,2,2,1,1,1,1,-1,1,1
455,12500000,1031,19.16885566711425,72.87786102294922,2,2,0,1,0,0,1,0,1
457,27000000,1250,19.079998016357425,72.85449981689453,3,3,2,1,1,2,2,2,1
459,10200000,850,19.180237,72.85541490000001,2,2,0,1,0,0,-1,0,1
460,30000000,900,19.13894569,72.82940015,2,2,1,1,0,1,-1,1,1
461,30000000,1034,19.2248756,72.86314300000001,3,3,0,-1,0,0,0,0,1
462,18000000,1100,19.175361,72.839107,2,2,0,1,0,0,-1,0,1
464,16800000,850,19.198230743408203,72.85767364501953,2,2,2,1,0,2,2,2,1
467,22500000,1566,19.17100978,72.87098943,2,2,1,1,0,1,-1,1,1
470,22600000,1500,19.114625,72.88469599999999,3,3,0,1,1,0,-1,0,1
471,14500000,920,19.177220805592,72.8705878488227,2,2,0,1,0,0,-1,0,1
473,29500000,1450,19.129887,72.836147,3,3,0,1,0,0,0,0,2
474,14500000,800,19.200165,72.868551,2,2,0,1,0,0,-1,0,1
